Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,Unnamed: 13
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,873,4.704,0,2,0,975,0,664,7.218,0.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,0,782,0,6,167,0,0,327,1.282,0.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100,4.360,3.362,82,5.886,83,1,0,831,14.605,0.0
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,199,0,0,2,2,0,0,0,203,0.0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,0,0,0,88,0,0,0,42,130,0.0
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,780,0,1,1.418,1,0,0,283,2.483,0.0
BUENOS AIRES,Adolfo Alsina,Maza,6007070,0,0,0,390,0,2,0,14,406,0.0
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,0,0,0,1.202,0,0,0,0,1.202,0.0
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,0,0,0,198,0,0,0,0,198,0.0
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050,0,0,0,58,0,0,0,0,58,0.0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,549,0,2,943,0,0,0,313,1.807,0.0
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,0,0,0,630,0,0,0,59,689,0.0
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,457,0,6,1,0,0,0,8,472,0.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,214,9.259,59,11.442,2,1,0,26,21.003,0.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,142,16.127,35,11.335,40,2,0,292,27.973,0.0
BUENOS AIRES,Almirante Brown,Claypole,6028010,5,7.568,3,4.149,13,0,0,2,11.740,0.0
BUENOS AIRES,Almirante Brown,Glew,6028010,55,7.978,10,11.652,12,0,0,54,19.761,0.0
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,0,7.374,1,1.410,2,0,0,1,8.788,0.0
BUENOS AIRES,Almirante Brown,Longchamps,6028010,30,9.559,20,14.739,24,0,0,1,24.373,0.0
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,2,5.311,3,54,2,0,0,1,5.373,0.0
